KEYTAB_KEY;KEYTAB_KURZTEXT;KEYTAB_LANGTEXT_1;KEYTAB_LANGTEXT_2
1391;Herstellung von gewirktem und gestricktem Stoff;Herstellung von gewirktem und gestricktem Stoff;
13910;Herstellung von gewirktem und gestricktem Stoff;Herstellung von gewirktem und gestricktem Stoff;
1392;Herstellung von Heimtextilien und konfektionierten Textilwaren für die Innenausstattung;Herstellung von Heimtextilien und konfektionierten Textilwaren für die Innenausstattung;
13920;Herstellung von Heimtextilien und konfektionierten Textilwaren für die Innenausstattung;Herstellung von Heimtextilien und konfektionierten Textilwaren für die Innenausstattung;
1393;Herstellung von Teppichen;Herstellung von Teppichen;
13930;Herstellung von Teppichen;Herstellung von Teppichen;
1394;Herstellung von Seilerwaren;Herstellung von Seilerwaren;
13940;Herstellung von Seilerwaren;Herstellung von Seilerwaren;
1395;Herstellung von Vliesstoff und nicht-konfektionierten Erzeugnissen daraus;Herstellung von Vliesstoff und nicht-konfektionierten Erzeugnissen daraus;
13950;Herstellung von Vliesstoff und nicht-konfektionierten Erzeugnissen daraus;Herstellung von Vliesstoff und nicht-konfektionierten Erzeugnissen daraus;
1396;Herstellung von technischen Textilien;Herstellung von technischen Textilien;
13960;Herstellung von technischen Textilien;Herstellung von technischen Textilien;
1399;Herstellung von sonstigen Textilwaren a. n. g.;Herstellung von sonstigen Textilwaren a. n. g.;
13990;Herstellung von sonstigen Textilwaren a. n. g.;Herstellung von sonstigen Textilwaren a. n. g.;
14;Herstellung von Bekleidung;Herstellung von Bekleidung;
141;Herstellung von Bekleidung aus gewirktem und gestricktem Stoff;Herstellung von Bekleidung aus gewirktem und gestricktem Stoff;
1410;Herstellung von Bekleidung aus gewirktem und gestricktem Stoff;Herstellung von Bekleidung aus gewirktem und gestricktem Stoff;
14101;Herstellung von Oberbekleidung für Herren und Knaben aus gewirktem und gestricktem Stoff;Herstellung von Oberbekleidung für Herren und Knaben aus gewirktem und gestricktem Stoff;
14102;Herstellung von Oberbekleidung für Damen und Mädchen aus gewirktem und gestricktem Stoff;Herstellung von Oberbekleidung für Damen und Mädchen aus gewirktem und gestricktem Stoff;
14103;Herstellung von gewirkter und gestrickter Wäsche (ohne Miederwaren);Herstellung von gewirkter und gestrickter Wäsche (ohne Miederwaren);
14104;Herstellung von Strumpfwaren;Herstellung von Strumpfwaren;
14105;Herstellung von sonstiger Bekleidung aus gewirktem und gestricktem Stoff;Herstellung von sonstiger Bekleidung aus gewirktem und gestricktem Stoff;
142;Herstellung von sonstiger Bekleidung und Bekleidungszubehör;Herstellung von sonstiger Bekleidung und Bekleidungszubehör;
1421;Herstellung von Oberbekleidung;Herstellung von Oberbekleidung;
14211;Herstellung von Oberbekleidung für Herren und Knaben;Herstellung von Oberbekleidung für Herren und Knaben;
142111;Maßschneiderei für Herren;Maßschneiderei für Herren;
14212;Herstellung von Oberbekleidung für Damen und Mädchen;Herstellung von Oberbekleidung für Damen und Mädchen;
142121;Maßschneiderei für Damen;Maßschneiderei für Damen;
14219;Herstellung von sonstiger Oberbekleidung;Herstellung von sonstiger Oberbekleidung;
1422;Herstellung von Wäsche;Herstellung von Wäsche;
14220;Herstellung von Wäsche;Herstellung von Wäsche;
1423;Herstellung von Arbeits- und Berufsbekleidung;Herstellung von Arbeits- und Berufsbekleidung;
14230;Herstellung von Arbeits- und Berufsbekleidung;Herstellung von Arbeits- und Berufsbekleidung;
1424;Herstellung von Lederbekleidung und Pelzwaren;Herstellung von Lederbekleidung und Pelzwaren;
14240;Herstellung von Lederbekleidung und Pelzwaren;Herstellung von Lederbekleidung und Pelzwaren;
1429;Herstellung von sonstiger Bekleidung und Bekleidungszubehör a. n. g.;Herstellung von sonstiger Bekleidung und Bekleidungszubehör a. n. g.;
14290;Herstellung von sonstiger Bekleidung und Bekleidungszubehör a. n. g.;Herstellung von sonstiger Bekleidung und Bekleidungszubehör a. n. g.;
142901;Nähen von Bekleidungszubehör (ohne handwerkliche Tätigkeit);Nähen von Bekleidungszubehör (ohne handwerkliche Tätigkeit);
15;Herstellung von Leder, Lederwaren und ähnlichen Produkten aus anderen Materialen;Herstellung von Leder, Lederwaren und ähnlichen Produkten aus anderen Materialen;
151;Herstellung von Reisegepäck, Handtaschen, Sattlerwaren und Geschirren;Herstellung von Reisegepäck, Handtaschen, Sattlerwaren und Geschirren Gerben, Färben, Zurichten von Leder und Fellen, ;
1511;Gerben, Färben, Zurichten von Leder und Fellen;Gerben, Färben, Zurichten von Leder und Fellen;
15110;Gerben, Färben, Zurichten von Leder und Fellen;Gerben, Färben, Zurichten von Leder und Fellen;
1512;Herstellung von Reisegepäck, Handtaschen, Sattlerwaren und Geschirren aus Stoffen aller Art;Herstellung von Reisegepäck, Handtaschen, Sattlerwaren und Geschirren aus Stoffen aller Art;
15120;Herstellung von Reisegepäck, Handtaschen, Sattlerwaren und Geschirren aus Stoffen aller Art;Herstellung von Reisegepäck, Handtaschen, Sattlerwaren und Geschirren aus Stoffen aller Art;
152;Herstellung von Schuhen;Herstellung von Schuhen;
1520;Herstellung von Schuhen;Herstellung von Schuhen;
15200;Herstellung von Schuhen;Herstellung von Schuhen;
152001;Maßanfertigung von Schuhen (ohne orthopädische Schuhe);Maßanfertigung von Schuhen (ohne orthopädische Schuhe);
16;Herstellung von Holz-, Flecht-, Korb- und Korkwaren, ohne Möbel;Herstellung von Holz-, Flecht-, Korb- und Korkwaren, ohne Möbel;
161;Säge- und Hobelwerke, Bearbeitung und Veredlung von Holz;Säge- und Hobelwerke, Bearbeitung und Veredlung von Holz;
1611;Säge- und Hobelwerke;Säge- und Hobelwerke;
